ID_mrgd,rel_change_mean50_ssp126_mean,rel_change_mean50_ssp585_mean,rel_change_mean00_ssp126_mean,rel_change_mean00_ssp585_mean
18,20.726413576605065,27.590745380297374,37.799968144504284,97.75002577411101
21,-10.652728398677363,-11.739506497714345,-10.313281787612194,-35.121378177808786
27,-8.929877364243575,-0.8939526606188775,-8.603137125093028,-35.14940506323086
31,-8.783840176886846,-12.918739731753732,-5.302550048198887,-29.18125560933254
34,-10.6570244335718,-14.247275666255721,-11.125495910916639,-25.89239548967289
41,-3.3817442480885753,-6.791377157008082,-4.400339306086496,-22.553128401664935
47,-3.1671341421930124,-7.584892245270526,-2.6927513461537256,-18.077094812926454
48,-0.46651274722626584,0.14700145379887242,-3.131179775580049,-1.3661773113306213
51,-4.527824506878364,-9.65803017376134,-3.2824168153233995,-23.2104885712796
57,-5.440091021724918,-7.538324670368784,-8.208420531640483,-19.19999450280014
58,-2.091525117827034,-2.244887300954841,-4.297775131470529,-6.209116220087808
61,-10.66311745824412,-14.837639040543205,-13.6334165529636,-39.46297275331156
67,-14.942881882133058,-18.09605127953369,-22.903092011013925,-46.106822190201584
71,-7.047563164728102,-8.918610898145797,-7.223690926408162,-29.457466356859275
77,-7.617645031122612,-9.432001874043243,-8.189951898782672,-28.88049614089769
81,-5.365319687166953,-7.690761109425871,-7.005874992795354,-25.39307689259607
87,-5.786483578010869,-6.753038261443688,-6.516542417599223,-24.0121266165312
88,-4.205907284865518,-3.139206544046716,-8.363559768522084,-6.950111394280893
