"Country_FAO","Country_FAO_new","continent","ISO3_country"
"Antigua and Barbuda","Antigua and Barbuda","Americas","ATG"
"Australia","Australia","Oceania","AUS"
"Barbados","Barbados","Americas","BRB"
"Belize","Belize","Americas","BLZ"
"Brunei Darussalam","Brunei Darussalam","Asia","BRN"
"Cabo Verde","Cabo Verde","Africa","CPV"
"Canada","Canada","Americas","CAN"
"Côte d'Ivoire","Côte d'Ivoire","Africa","CIV"
"Georgia","Georgia","Europe","GEO"
"Grenada","Grenada","Americas","GRD"
"Iceland","Iceland","Europe","ISL"
"Ireland","Ireland","Europe","IRL"
"Jamaica","Jamaica","Americas","JAM"
"Japan","Japan","Asia","JPN"
"Libya","Libya","Africa","LBY"
"Malaysia","Malaysia","Asia","MYS"
"Montenegro","Montenegro","Europe","MNE"
"New Zealand","New Zealand","Oceania","NZL"
"Papua New Guinea","Papua New Guinea","Oceania","PNG"
"Romania","Romania","Europe","ROU"
"Saint Kitts and Nevis","Saint Kitts and Nevis","Americas","KNA"
"Saint Lucia","Saint Lucia","Americas","LCA"
"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Americas","VCT"
"Solomon Islands","Solomon Islands","Oceania","SLB"
"Turkmenistan","Turkmenistan","Asia","TKM"
"Tuvalu","Tuvalu","Oceania","TUV"
"Türkiye","Türkiye","Asia","TUR"
"the Arab Republic of Egypt","Egypt","Africa","EGY"
"the Argentine Republic","Argentina","Americas","ARG"
"the Bolivarian Republic of Venezuela","Bolivarian Republic of Venezuela (the)","Americas","VEN"
"the Co-operative Republic of Guyana","Guyana","Americas","GUY"
"the Commonwealth of Dominica","Dominica","Americas","DMA"
"the Commonwealth of the Bahamas","Bahamas (the)","Americas","BHS"
"the Democratic People's Republic of Korea","Democratic People's Republic of Korea (the)","Asia","PRK"
"the Democratic Republic of Sao Tome and Principe","Sao Tome and Principe","Africa","STP"
"the Democratic Republic of Timor-Leste","Timor-Leste","Asia","TLS"
"the Democratic Republic of the Congo","Democratic Republic of the Congo (the)","Africa","COD"
"the Democratic Socialist Republic of Sri Lanka","Sri Lanka","Asia","LKA"
"the Dominican Republic","Dominican Republic (the)","Americas","DOM"
"the Eastern Republic of Uruguay","Uruguay","Americas","URY"
"the Federal Republic of Germany","Germany","Europe","DEU"
"the Federal Republic of Nigeria","Nigeria","Africa","NGA"
"the Federal Republic of Somalia","Somalia","Africa","SOM"
"the Federated States of Micronesia","Federated States of Micronesia (the)","Oceania","FSM"
"the Federative Republic of Brazil","Brazil","Americas","BRA"
"the French Republic","France","Europe","FRA"
"the Gabonese Republic","Gabon","Africa","GAB"
"the Hashemite Kingdom of Jordan","Jordan","Asia","JOR"
"the Hellenic Republic","Greece","Europe","GRC"
"the Independent State of Samoa","Samoa","Oceania","WSM"
"the Islamic Republic of Iran","Islamic Republic of Iran (the)","Asia","IRN"
"the Islamic Republic of Mauritania","Mauritania","Africa","MRT"
"the Islamic Republic of Pakistan","Pakistan","Asia","PAK"
"the Kingdom of Bahrain","Bahrain","Asia","BHR"
"the Kingdom of Belgium","Belgium","Europe","BEL"
"the Kingdom of Cambodia","Cambodia","Asia","KHM"
"the Kingdom of Denmark","Denmark","Europe","DNK"
"the Kingdom of Morocco","Morocco","Africa","MAR"
"the Kingdom of Norway","Norway","Europe","NOR"
"the Kingdom of Saudi Arabia","Saudi Arabia","Asia","SAU"
"the Kingdom of Spain","Spain","Europe","ESP"
"the Kingdom of Sweden","Sweden","Europe","SWE"
"the Kingdom of Thailand","Thailand","Asia","THA"
"the Kingdom of Tonga","Tonga","Oceania","TON"
"the Kingdom of the Netherlands","Kingdom of the Netherlands (the)","Europe","NLD"
"the Lebanese Republic","Lebanon","Asia","LBN"
"the People's Democratic Republic of Algeria","Algeria","Africa","DZA"
"the People's Republic of Bangladesh","Bangladesh","Asia","BGD"
"the People's Republic of China","China","Asia","CHN"
"the Portuguese Republic","Portugal","Europe","PRT"
"the Republic of Albania","Albania","Europe","ALB"
"the Republic of Angola","Angola","Africa","AGO"
"the Republic of Azerbaijan","Azerbaijan","Asia","AZE"
"the Republic of Benin","Benin","Africa","BEN"
"the Republic of Bulgaria","Bulgaria","Europe","BGR"
"the Republic of Cameroon","Cameroon","Africa","CMR"
"the Republic of Chile","Chile","Americas","CHL"
"the Republic of Colombia","Colombia","Americas","COL"
"the Republic of Costa Rica","Costa Rica","Americas","CRI"
"the Republic of Croatia","Croatia","Europe","HRV"
"the Republic of Cuba","Cuba","Americas","CUB"
"the Republic of Cyprus","Cyprus","Asia","CYP"
"the Republic of Djibouti","Djibouti","Africa","DJI"
"the Republic of Ecuador","Ecuador","Americas","ECU"
"the Republic of El Salvador","El Salvador","Americas","SLV"
"the Republic of Equatorial Guinea","Equatorial Guinea","Africa","GNQ"
"the Republic of Estonia","Estonia","Europe","EST"
"the Republic of Fiji","Fiji","Oceania","FJI"
"the Republic of Finland","Finland","Europe","FIN"
"the Republic of Ghana","Ghana","Africa","GHA"
"the Republic of Guatemala","Guatemala","Americas","GTM"
"the Republic of Guinea","Guinea","Africa","GIN"
"the Republic of Guinea-Bissau","Guinea-Bissau","Africa","GNB"
"the Republic of Haiti","Haiti","Americas","HTI"
"the Republic of Honduras","Honduras","Americas","HND"
"the Republic of India","India","Asia","IND"
"the Republic of Indonesia","Indonesia","Asia","IDN"
"the Republic of Iraq","Iraq","Asia","IRQ"
"the Republic of Italy","Italy","Europe","ITA"
"the Republic of Kazakhstan","Kazakhstan","Asia","KAZ"
"the Republic of Kenya","Kenya","Africa","KEN"
"the Republic of Kiribati","Kiribati","Oceania","KIR"
"the Republic of Korea","Republic of Korea (the)","Asia","KOR"
"the Republic of Latvia","Latvia","Europe","LVA"
"the Republic of Liberia","Liberia","Africa","LBR"
"the Republic of Lithuania","Lithuania","Europe","LTU"
"the Republic of Madagascar","Madagascar","Africa","MDG"
"the Republic of Maldives","Maldives","Asia","MDV"
"the Republic of Malta","Malta","Europe","MLT"
"the Republic of Mauritius","Mauritius","Africa","MUS"
"the Republic of Mozambique","Mozambique","Africa","MOZ"
"the Republic of Namibia","Namibia","Africa","NAM"
"the Republic of Nauru","Nauru","Oceania","NRU"
"the Republic of Nicaragua","Nicaragua","Americas","NIC"
"the Republic of Palau","Palau","Oceania","PLW"
"the Republic of Panama","Panama","Americas","PAN"
"the Republic of Peru","Peru","Americas","PER"
"the Republic of Poland","Poland","Europe","POL"
"the Republic of Senegal","Senegal","Africa","SEN"
"the Republic of Seychelles","Seychelles","Africa","SYC"
"the Republic of Sierra Leone","Sierra Leone","Africa","SLE"
"the Republic of South Africa","South Africa","Africa","ZAF"
"the Republic of Suriname","Suriname","Americas","SUR"
"the Republic of Trinidad and Tobago","Trinidad and Tobago","Americas","TTO"
"the Republic of Tunisia","Tunisia","Africa","TUN"
"the Republic of Vanuatu","Vanuatu","Oceania","VUT"
"the Republic of Yemen","Yemen","Asia","YEM"
"the Republic of the Congo","Congo (the)","Africa","COG"
"the Republic of the Gambia","Gambia (the)","Africa","GMB"
"the Republic of the Marshall Islands","Marshall Islands (the)","Oceania","MHL"
"the Republic of the Philippines","Philippines (the)","Asia","PHL"
"the Republic of the Sudan","Sudan (the)","Africa","SDN"
"the Republic of the Union of Myanmar","Myanmar","Asia","MMR"
"the Russian Federation","Russian Federation (the)","Europe","RUS"
"the Socialist Republic of Viet Nam","Viet Nam","Asia","VNM"
"the State of Eritrea","Eritrea","Africa","ERI"
"the State of Israel","Israel","Asia","ISR"
"the State of Kuwait","Kuwait","Asia","KWT"
"the State of Qatar","Qatar","Asia","QAT"
"the Sultanate of Oman","Oman","Asia","OMN"
"the Syrian Arab Republic","Syrian Arab Republic (the)","Asia","SYR"
"the Togolese Republic","Togo","Africa","TGO"
"the United Arab Emirates","United Arab Emirates (the)","Asia","ARE"
"the United Kingdom of Great Britain and Northern Ireland","United Kingdom of Great Britain and Northern Ireland (the)","Europe","GBR"
"the United Mexican States","Mexico","Americas","MEX"
"the United Republic of Tanzania","United Republic of Tanzania (the)","Africa","TZA"
"the United States of America","United States of America (the)","Americas","USA"
