mean_annual_catch,class_fish,ISO3CD
0.006350618999999999,<0.25,ALB
0.097020857,<0.25,DZA
0.0024097899999999998,<0.25,ASM
0.35143409999999997,0.25-1,AGO
7.217999999999999e-4,<0.25,AIA
0.0016834999999999999,<0.25,ATG
0.8011526449999999,0.25-1,ARG
1.196e-4,<0.25,ABW
5.798289999999999e-4,<0.25,SHN
0.163953755,<0.25,AUS
0.011309487,<0.25,BHS
0.0064749,<0.25,BHR
0.6294768000000001,0.25-1,BGD
0.0016003810000000001,<0.25,BRB
0.02328668,<0.25,BEL
0.102409825,<0.25,BLZ
0.016506069999999998,<0.25,BEN
4.0964800000000003e-4,<0.25,BMU
9.659999999999999e-5,<0.25,BES
3.5e-6,<0.25,BIH
0.165126947,<0.25,BRA
7.2999999999999996e-6,<0.25,IOT
0,<0.25,VGB
0.009018037,<0.25,BRN
0.008600739999999999,<0.25,BGR
0.025344632,<0.25,CPV
0,<0.25,KHM
0.162891283,<0.25,CMR
0.813752572,0.25-1,CAN
7.5e-5,<0.25,CYM
0.0027589879999999995,<0.25,NA
2.350888484,2-4,CHL
13.251327514,>6,CHN
0,<0.25,HKG
0,<0.25,MAC
0.068326239,<0.25,COL
0.021025343,<0.25,COM
0.040217019,<0.25,COG
0.004621142,<0.25,COK
0.016064346,<0.25,CRI
0.07028724800000001,<0.25,HRV
0.006433199999999999,<0.25,CUB
0.029328578,<0.25,CUW
0.0014089859999999999,<0.25,CYP
0.042599208,<0.25,CIV
0,<0.25,PRK
0.001892,<0.25,COD
0.6986253,0.25-1,DNK
0.002220453,<0.25,DJI
6.39237e-4,<0.25,DMA
0.013184996999999999,<0.25,DOM
0.633588655,0.25-1,ECU
0.104568621,<0.25,EGY
0.050581158,<0.25,SLV
0,<0.25,GNQ
0.0037281099999999998,<0.25,ERI
0.072636217,<0.25,EST
0,<0.25,ETH
0.074895587,<0.25,FLK
0.57509883,0.25-1,FRO
0,<0.25,FJI
0.142893567,<0.25,FIN
0.529650123,0.25-1,FRA
0.002760734,<0.25,GUF
0.013463986,<0.25,PYF
0,<0.25,ATF
0.0025103,<0.25,GAB
0.048999019,<0.25,GMB
0.044587652,<0.25,GEO
0.219941513,<0.25,DEU
0.261364695,0.25-1,GHA
0,<0.25,GIB
0.06882940700000001,<0.25,GRC
0.2739521,0.25-1,GRL
0.0015626149999999998,<0.25,GRD
0.0030647079999999998,<0.25,GLP
8.492599999999999e-5,<0.25,GUM
0.012632547,<0.25,GTM
0.1718047,<0.25,GIN
0.011434611,<0.25,GNB
0.041125195999999996,<0.25,GUY
0,<0.25,HTI
0.013024799999999998,<0.25,HND
1.21418966,1-2,ISL
0.6871050870000001,0.25-1,IND
6.284411931999999,>6,IDN
0.607243344,0.25-1,IRN
0.006990103,<0.25,IRQ
0.26198471599999995,0.25-1,IRL
0.005040627,<0.25,IMN
5.167e-4,<0.25,ISR
0.180496755,<0.25,ITA
0.014831991999999999,<0.25,JAM
3.419560316,2-4,JPN
1.8395e-5,<0.25,JOR
0.019401735,<0.25,KEN
0.15991793799999998,<0.25,KIR
0.0030744,<0.25,KWT
0.08635585999999999,<0.25,LVA
0.00198498,<0.25,LBN
0.009663937,<0.25,LBR
0,<0.25,LBY
0.094158914,<0.25,LTU
0.081920364,<0.25,MDG
1.4597907369999998,1-2,MYS
0.13575924299999997,<0.25,MDV
0.002508042,<0.25,MLT
0.08255972299999999,<0.25,MHL
0.001006922,<0.25,MTQ
0.462256601,0.25-1,MRT
0.020736411,<0.25,MUS
0.006712448,<0.25,MYT
1.47061635,1-2,MEX
0.10821255299999999,<0.25,FSM
0,<0.25,MCO
8.61625e-4,<0.25,MNE
2.17e-5,<0.25,MSR
1.3627675449999999,1-2,MAR
0.165833463,<0.25,MOZ
0,<0.25,MMR
0.41874216799999997,0.25-1,NAM
0.0256238,<0.25,NRU
0.362353592,0.25-1,NLD
0.003776411,<0.25,NCL
0.41396763999999997,0.25-1,NZL
0.041449006999999996,<0.25,NIC
0.41785023899999996,0.25-1,NGA
4.5e-6,<0.25,NIU
0,<0.25,NFK
1.2437699999999998e-4,<0.25,MNP
2.453182541,2-4,NOR
0.43421642599999993,0.25-1,OMN
0.3626022,0.25-1,PAK
0.001125968,<0.25,PLW
0.0033082599999999995,<0.25,PSE
0.17631102999999998,<0.25,PAN
0.253445337,0.25-1,PNG
5.125410189999999,4-6,PER
1.833552497,1-2,PHL
0,<0.25,PCN
0.19115315,<0.25,POL
0.18410021699999998,<0.25,PRT
0.0015573269999999998,<0.25,PRI
0.014800459999999998,<0.25,QAT
1.491101152,1-2,KOR
0.004834519,<0.25,ROU
4.472755866,4-6,RUS
0.0027896559999999997,<0.25,REU
0,<0.25,BLM
0.035988703999999996,<0.25,KNA
0.001885956,<0.25,LCA
0,<0.25,MAF
0.0030756860000000002,<0.25,SPM
0.022090366999999996,<0.25,VCT
0,<0.25,WSM
0.003939,<0.25,STP
0.0658568,<0.25,SAU
0.4482389,0.25-1,SEN
0.11662024099999999,<0.25,SYC
0,<0.25,SLE
0.001204536,<0.25,SGP
0,<0.25,SXM
1.87306e-4,<0.25,SVN
0.055155057,<0.25,SLB
0,<0.25,SOM
0.558991317,0.25-1,ZAF
0.9213540819999999,0.25-1,ESP
0.40478643599999997,0.25-1,LKA
8.104e-4,<0.25,SDN
0.0294119,<0.25,SUR
0,<0.25,SJM
0.184505915,<0.25,SWE
0,<0.25,SYR
0.815567583,0.25-1,TWN
1.416150474,1-2,THA
0.002638259,<0.25,TLS
0.0168151,<0.25,TGO
1.3309999999999998e-4,<0.25,TKL
1.8030299999999998e-4,<0.25,TON
0.012857598999999999,<0.25,TTO
0.0779342,<0.25,TUN
0.0020626999999999998,<0.25,TCA
0.012278517999999999,<0.25,TUV
0.336505688,0.25-1,TUR
0.084896161,<0.25,UKR
0.07286429999999999,<0.25,ARE
0.671686744,0.25-1,GBR
0.096122874,<0.25,TZA
4.61108e-4,<0.25,VIR
4.7932323,4-6,USA
0.059251548999999994,<0.25,URY
0.060706832,<0.25,VUT
0.132733978,<0.25,VEN
2.943050796,2-4,VNM
2.3205399999999998e-4,<0.25,WLF
0,<0.25,ESH
0,<0.25,YEM
